date,state,17-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,other,total
2015-09-28,Malaysia,140,21,14,15,11,4,3,0,0,0,208
2015-09-29,Malaysia,331,116,36,36,21,10,7,4,0,0,561
2015-09-30,Malaysia,231,66,67,53,37,18,5,3,0,0,480
2015-10-01,Malaysia,234,53,53,34,21,11,7,1,0,0,414
2015-10-02,Malaysia,118,40,29,20,19,13,6,3,0,1,249
2015-10-03,Malaysia,147,78,83,74,46,23,8,6,2,0,467
2015-10-04,Malaysia,187,96,102,85,82,50,29,12,2,0,645
2015-10-05,Malaysia,212,48,37,24,14,10,8,3,0,0,356
2015-10-06,Malaysia,141,55,42,25,24,7,5,5,0,0,304
2015-10-07,Malaysia,304,78,52,46,32,17,14,2,0,0,545
2015-10-08,Malaysia,485,62,37,36,23,13,5,0,1,1,663
2015-10-09,Malaysia,132,43,33,22,14,11,4,0,1,0,260
2015-10-10,Malaysia,257,77,89,49,45,21,18,6,0,0,562
2015-10-11,Malaysia,178,83,97,62,52,36,17,19,1,0,545
2015-10-12,Malaysia,356,66,38,33,20,14,7,2,0,0,536
2015-10-13,Malaysia,213,44,55,21,16,10,6,1,0,0,366
2015-10-14,Malaysia,125,62,55,45,33,24,20,7,0,0,371
2015-10-15,Malaysia,116,64,53,38,27,23,8,5,0,0,334
2015-10-16,Malaysia,111,69,54,31,13,9,4,7,0,0,298
2015-10-17,Malaysia,111,61,60,38,39,25,11,11,3,0,359
2015-10-18,Malaysia,191,118,112,96,56,55,39,15,1,0,683
2015-10-19,Malaysia,162,41,28,25,11,6,3,0,0,0,276
2015-10-20,Malaysia,346,82,83,62,34,36,27,6,1,0,677
2015-10-21,Malaysia,296,124,64,43,28,17,5,4,0,0,581
2015-10-22,Malaysia,287,100,57,39,31,18,9,5,0,0,546
2015-10-23,Malaysia,80,38,36,21,19,15,8,2,1,0,220
2015-10-24,Malaysia,463,267,73,39,45,22,17,6,0,0,932
2015-10-25,Malaysia,116,73,77,72,55,32,23,10,1,0,459
2015-10-26,Malaysia,191,58,52,24,15,10,6,6,0,0,362
2015-10-27,Malaysia,273,63,53,30,26,15,10,0,0,1,471
2015-10-28,Malaysia,324,76,64,45,30,16,9,6,0,1,571
2015-10-29,Malaysia,334,82,64,45,33,15,7,0,0,0,580
2015-10-30,Malaysia,231,45,35,35,15,15,13,3,1,0,393
2015-10-31,Malaysia,332,167,145,95,57,49,36,9,2,0,892
2015-11-01,Malaysia,321,162,130,80,68,51,22,10,2,0,846
2015-11-02,Malaysia,200,60,34,21,11,6,4,1,0,0,337
2015-11-03,Malaysia,316,72,55,31,24,16,8,7,0,0,529
2015-11-04,Malaysia,403,58,52,33,35,26,9,3,0,0,619
2015-11-05,Malaysia,408,66,55,34,23,15,6,3,0,1,611
2015-11-06,Malaysia,69,25,12,18,16,14,6,2,0,0,162
2015-11-07,Malaysia,76,62,45,48,29,31,13,2,1,0,307
2015-11-08,Malaysia,168,92,95,79,75,58,45,9,3,0,624
2015-11-09,Malaysia,80,38,38,27,12,8,4,2,0,0,209
2015-11-10,Malaysia,111,62,49,37,30,29,13,10,0,0,341
2015-11-11,Malaysia,215,77,41,23,16,11,12,1,0,2,398
2015-11-12,Malaysia,268,85,74,25,25,14,7,4,0,0,502
2015-11-13,Malaysia,158,24,25,11,20,10,3,3,0,0,254
2015-11-14,Malaysia,105,43,52,37,31,24,17,4,2,0,315
2015-11-15,Malaysia,232,80,62,59,54,38,16,6,0,0,547
2015-11-16,Malaysia,75,68,46,17,10,8,4,2,1,0,231
2015-11-17,Malaysia,312,102,57,39,25,17,12,2,1,0,567
2015-11-18,Malaysia,202,66,60,35,20,19,10,4,0,0,416
2015-11-19,Malaysia,290,110,67,54,30,11,5,4,0,0,571
2015-11-20,Malaysia,201,49,65,42,16,22,13,3,0,0,411
2015-11-21,Malaysia,255,93,51,41,32,22,10,5,0,0,509
2015-11-22,Malaysia,141,85,89,78,62,37,35,12,2,0,541
2015-11-23,Malaysia,228,66,48,32,20,12,13,1,0,0,420
2015-11-24,Malaysia,263,91,52,38,28,15,12,3,1,0,503
2015-11-25,Malaysia,250,127,89,46,28,22,12,8,2,0,584
2015-11-26,Malaysia,222,83,85,49,29,16,9,4,0,0,497
2015-11-27,Malaysia,95,47,38,27,20,6,5,7,2,0,247
2015-11-28,Malaysia,158,108,63,46,34,26,19,4,0,0,458
2015-11-29,Malaysia,227,111,101,97,90,73,43,29,2,1,774
2015-11-30,Malaysia,180,34,27,15,14,6,3,1,0,0,280
2015-12-01,Malaysia,343,53,38,28,13,10,5,5,0,1,496
2015-12-02,Malaysia,353,80,47,27,26,9,5,2,0,0,549
2015-12-03,Malaysia,341,89,53,53,29,21,10,5,0,0,601
2015-12-04,Malaysia,226,41,21,23,10,8,6,3,0,0,338
2015-12-05,Malaysia,278,100,96,70,38,31,17,7,1,0,638
2015-12-06,Malaysia,187,72,69,69,52,38,21,10,0,0,518
2015-12-07,Malaysia,263,29,31,18,12,7,5,1,0,0,366
2015-12-08,Malaysia,437,80,96,50,31,23,6,7,0,2,732
2015-12-09,Malaysia,419,92,68,44,21,12,6,1,0,0,663
2015-12-10,Malaysia,370,88,59,41,29,16,8,8,2,1,622
2015-12-11,Malaysia,81,59,26,20,8,8,12,3,1,0,218
2015-12-12,Malaysia,175,91,83,47,30,29,11,7,1,0,474
2015-12-13,Malaysia,219,136,98,88,49,40,29,10,1,2,672
2015-12-14,Malaysia,97,40,22,21,19,10,9,1,1,0,220
2015-12-15,Malaysia,165,92,85,57,22,19,11,4,0,0,455
2015-12-16,Malaysia,212,102,81,56,36,17,10,4,0,0,518
2015-12-17,Malaysia,404,109,71,50,32,19,8,3,0,0,696
2015-12-18,Malaysia,116,65,35,20,23,15,11,4,0,0,289
2015-12-19,Malaysia,370,172,54,49,32,22,13,4,1,0,717
2015-12-20,Malaysia,192,91,85,70,55,38,27,13,2,0,573
2015-12-21,Malaysia,63,23,14,14,10,8,7,1,0,0,140
2015-12-22,Malaysia,102,73,64,52,26,10,5,5,1,1,339
2015-12-23,Malaysia,180,64,50,35,27,14,7,2,0,0,379
2015-12-24,Malaysia,53,29,28,25,17,10,4,4,0,0,170
2015-12-25,Malaysia,76,45,46,26,20,21,26,5,0,0,265
