date,state,daily,donations_new,donations_returning
2006-12-16,Malaysia,337,188,149
2006-12-17,Malaysia,778,580,198
2006-12-18,Malaysia,200,57,143
2006-12-19,Malaysia,579,186,393
2006-12-20,Malaysia,888,536,352
2006-12-21,Malaysia,972,587,385
2006-12-22,Malaysia,457,285,172
2006-12-23,Malaysia,410,232,178
2006-12-24,Malaysia,443,290,153
2006-12-25,Malaysia,91,51,40
2006-12-26,Malaysia,375,132,243
2006-12-27,Malaysia,553,237,316
2006-12-28,Malaysia,549,238,311
2006-12-29,Malaysia,1114,499,615
2006-12-30,Malaysia,345,156,189
2006-12-31,Malaysia,83,54,29
2007-01-01,Malaysia,192,138,54
2007-01-02,Malaysia,545,203,342
2007-01-03,Malaysia,398,196,202
2007-01-04,Malaysia,789,513,276
2007-01-05,Malaysia,239,124,115
2007-01-06,Malaysia,540,217,323
2007-01-07,Malaysia,888,550,338
2007-01-08,Malaysia,948,492,456
2007-01-09,Malaysia,1033,557,476
2007-01-10,Malaysia,1477,810,667
2007-01-11,Malaysia,1195,727,468
2007-01-12,Malaysia,379,149,230
2007-01-13,Malaysia,595,376,219
2007-01-14,Malaysia,597,292,305
2007-01-15,Malaysia,726,385,341
2007-01-16,Malaysia,1215,754,461
2007-01-17,Malaysia,940,450,490
2007-01-18,Malaysia,878,577,301
2007-01-19,Malaysia,520,122,398
2007-01-20,Malaysia,504,340,164
2007-01-21,Malaysia,928,582,346
2007-01-22,Malaysia,671,355,316
2007-01-23,Malaysia,1074,659,415
2007-01-24,Malaysia,1284,767,517
2007-01-25,Malaysia,1147,683,464
2007-01-26,Malaysia,984,538,446
2007-01-27,Malaysia,507,305,202
2007-01-28,Malaysia,914,494,420
2007-01-29,Malaysia,281,125,156
2007-01-30,Malaysia,1041,615,426
2007-01-31,Malaysia,1611,1024,587
2007-02-01,Malaysia,2182,1585,597
2007-02-02,Malaysia,268,108,160
2007-02-03,Malaysia,1173,739,434
2007-02-04,Malaysia,689,377,312
2007-02-05,Malaysia,471,265,206
2007-02-06,Malaysia,940,544,396
2007-02-07,Malaysia,1124,654,470
2007-02-08,Malaysia,915,595,320
2007-02-09,Malaysia,1226,1034,192
2007-02-10,Malaysia,1969,1737,232
2007-02-11,Malaysia,3215,2841,374
2007-02-12,Malaysia,1016,462,554
2007-02-13,Malaysia,886,394,492
2007-02-14,Malaysia,1442,701,741
2007-02-15,Malaysia,1022,718,304
2007-02-16,Malaysia,693,481,212
2007-02-17,Malaysia,221,132,89
2007-02-18,Malaysia,167,126,41
2007-02-19,Malaysia,210,163,47
2007-02-20,Malaysia,192,112,80
2007-02-21,Malaysia,497,239,258
